traffic_density,vehicle_count,honking_events,population_density,near_highway,near_construction,industrial_zone,hour,is_weekend,decibel_level
7,450,110,9222,1,0,0,7,0,83.82
4,455,69,17807,1,0,1,2,0,84.92
8,480,57,18780,0,1,0,16,1,78.64
5,40,99,8383,1,0,0,20,1,59.23
7,83,39,13953,1,0,1,7,0,68.98
10,184,50,17697,0,0,0,10,0,74.84
3,46,4,8118,0,1,1,19,0,61.55
7,330,76,1282,0,0,1,17,1,66.6
8,304,31,15142,0,1,0,15,1,76.94
5,300,79,8289,0,1,0,12,0,65.7
4,183,0,14502,0,0,1,8,0,60.45
8,243,76,12481,1,0,0,18,1,76.4
8,165,53,5507,1,1,0,6,1,73.67
3,49,10,8075,1,1,1,16,1,63.41
6,64,52,16684,0,1,0,7,0,64.98
5,490,7,11794,0,0,1,7,0,72.72
2,53,24,6137,0,1,1,2,0,59.98
8,446,39,13270,0,1,1,15,0,84.21
6,240,31,15042,0,1,1,11,1,70.84
2,553,87,11408,1,0,0,14,1,70.47
5,386,27,17462,0,1,0,20,0,70.23
1,569,77,13199,1,1,0,3,0,69.91
10,135,108,2365,0,1,1,22,0,77.14
6,258,2,1876,1,1,0,6,0,60.83
9,354,99,14755,1,1,1,10,0,91.95
1,460,90,14147,1,0,1,23,0,67.29
10,167,83,5908,1,0,0,4,0,74.5
3,28,110,8663,1,1,0,12,0,58.58
7,307,78,6783,1,1,1,10,0,84.85
4,407,61,2476,1,1,1,4,0,74.4
9,69,26,6943,0,1,1,7,1,71.41
3,536,116,13824,0,1,1,20,1,74.37
5,297,44,8095,1,1,0,16,1,67.99
3,319,104,5420,0,0,0,10,1,59.69
7,154,91,18771,0,1,0,18,0,75.92
5,599,24,17875,1,1,1,17,1,83.43
9,166,105,5728,0,0,1,9,1,74.03
7,509,60,12248,1,0,0,4,1,83.87
2,497,43,16215,0,0,0,23,1,60.98
4,178,109,14984,1,0,0,0,1,70.21
9,403,96,6950,0,1,1,16,0,86.56
2,182,45,17967,1,0,1,16,1,65.94
10,460,13,520,0,0,1,0,1,72.69
9,208,7,15217,0,0,0,0,0,71.5
10,434,47,15080,0,1,0,22,1,84.6
5,358,13,10617,1,1,0,21,0,75.27
2,200,64,10164,1,1,0,8,1,65.61
4,307,79,1599,0,0,0,3,0,56.5
7,206,81,3137,0,1,0,8,0,69.42
8,157,6,9081,1,0,1,13,0,69.08
3,149,78,8244,0,0,0,14,1,58.0
1,213,87,7957,0,0,0,15,1,54.82
4,335,48,11307,1,0,1,15,0,70.91
2,163,114,18238,1,1,1,12,0,73.83
8,35,54,6902,0,1,1,13,0,72.86
4,321,12,5021,1,1,1,21,0,71.38
2,442,72,16889,0,1,1,20,0,73.97
6,264,55,8882,0,0,1,8,0,66.08
6,126,55,13192,1,0,0,22,0,63.94
10,107,14,4853,0,0,0,8,0,64.08
4,148,56,15565,1,0,0,20,0,67.85
6,360,57,14925,1,0,0,3,0,74.61
2,23,34,13611,0,1,1,9,1,58.67
10,346,87,8531,1,1,1,2,0,88.2
2,429,96,16010,0,0,0,20,1,64.58
